16 24
1 2 -0.165955990594852
1 5 0.4406489868843162
2 3 0.6014891373510733
2 6 0.936523151438795
3 4 0.9777221778129894
3 7 0.4963313087596788
4 8 -0.17188802436086337
5 6 -0.9997712503653102
5 9 -0.39533485473632046
6 7 -0.3731516436815143
6 10 0.38464523133862816
7 8 -0.43911201587118964
7 11 0.578558656902977
8 12 -0.1716414609461947
9 10 -0.7064882183657739
9 13 -0.8153228104624044
10 11 0.7527783045920766
10 14 0.7892133270076946
11 12 -0.793547986844716
11 15 -0.10421294764818967
12 16 0.07179281183102315
13 14 -0.6274795772446582
14 15 -0.8299115772604442
15 16 0.8171910061861911
